term,slug,subcategory,definition,body
Earned value,earned-value,Project Management,"A technique that compares work actually completed against what was planned and what it cost, in a single set of figures.","<p>A technique that compares work actually completed against what was planned and what it cost, in a single set of figures.</p>
<p>Earned value converts schedule and cost performance into two ratios: SPI and CPI. A project that has spent 60% of budget to deliver 40% of scope is in trouble in a way that a percentage-complete report will not reveal. It requires a properly baselined plan and honest progress measurement, which is why it works well in engineering and construction and poorly where scope is genuinely emergent.</p>"
Psychological safety,psychological-safety,Leadership Development,A shared belief that the team is safe for interpersonal risk-taking — that you can admit a mistake or challenge a decision without punishment.,"<p>A shared belief that the team is safe for interpersonal risk-taking — that you can admit a mistake or challenge a decision without punishment.</p>
<p>The research finding that matters is that psychological safety predicts team performance more strongly than individual talent does, because it determines whether problems surface early. It is built almost entirely through leader behaviour: how the most senior person in the room responds the first time someone brings bad news sets the standard for the following year. It is not the same as being nice, and it does not lower the performance bar.</p>"
OKR,okr,Strategy & Business Development,Objectives and Key Results — a goal-setting method pairing a qualitative objective with a small number of measurable outcomes.,"<p>Objectives and Key Results — a goal-setting method pairing a qualitative objective with a small number of measurable outcomes.</p>
<p>The discipline is in the key results: they must be outcomes, not activities, and they must be measurable without argument. 'Launch the new onboarding flow' is a task. 'Reduce time to first successful login from 6 days to 2' is a key result. Most OKR implementations fail because they are used as a performance-management instrument, which guarantees people set targets they know they can hit.</p>"
BATNA,batna,Communication & Influence,Best Alternative To a Negotiated Agreement — what you will do if this negotiation produces nothing.,"<p>Best Alternative To a Negotiated Agreement — what you will do if this negotiation produces nothing.</p>
<p>Your BATNA, not your opening position, determines your actual power in a negotiation. Improving it before you enter the room is more valuable than any tactic used inside it, and knowing the other side's BATNA tells you how much room they really have. Negotiators who have not worked theirs out tend to concede late and badly, because they cannot tell the difference between a bad deal and no deal.</p>"
Zero trust,zero-trust,Cybersecurity,"A security model that assumes no user, device or network segment is inherently trustworthy.","<p>A security model that assumes no user, device or network segment is inherently trustworthy.</p>
<p>Zero trust replaces the perimeter assumption — inside is safe, outside is not — with continuous verification: authenticate every request, authorise it against least-privilege policy, and assume breach when designing segmentation. It is an architecture and an operating discipline rather than a product, which is why it cannot be bought, and why most vendor claims about it should be read carefully.</p>"
NIS2,nis2,Cybersecurity,"The EU directive that widens cybersecurity obligations across essential and important entities, with management accountability attached.","<p>The EU directive that widens cybersecurity obligations across essential and important entities, with management accountability attached.</p>
<p>NIS2 expands the sectors in scope, sets baseline risk-management measures, tightens incident reporting, and — the part that changes behaviour — makes management bodies accountable, including the requirement that they receive training. Supply-chain security is explicitly in scope, so organisations outside the named sectors frequently find themselves obliged through a customer contract rather than directly through the law.</p>"
Prompt engineering,prompt-engineering,Artificial Intelligence,The practice of structuring inputs to a language model so that the output is reliable enough to use in a business process.,"<p>The practice of structuring inputs to a language model so that the output is reliable enough to use in a business process.</p>
<p>Useful prompting is mostly specification: state the role, give the model the context it cannot infer, define the output format, provide examples of good and bad, and say what to do when it is uncertain. The skill transfers directly from writing a good brief for a junior colleague. Where it differs is in evaluation — you need a way to test that a prompt still works after the underlying model changes.</p>"
Retrieval-augmented generation (RAG),retrieval-augmented-generation-rag,Artificial Intelligence,An architecture that retrieves relevant documents from your own sources and supplies them to a language model as context.,"<p>An architecture that retrieves relevant documents from your own sources and supplies them to a language model as context.</p>
<p>RAG exists to solve two problems: models do not know your internal data, and they will produce confident answers regardless. By retrieving passages first and grounding the answer in them, you get citations and a far lower rate of invention. Most of the engineering effort ends up in retrieval quality — chunking, embedding and ranking — rather than in the model itself.</p>"
Greenfield vs brownfield (SAP),greenfield-vs-brownfield-sap,SAP & Enterprise Systems,"Two migration approaches to S/4HANA: rebuild from a clean core, or convert the existing system in place.","<p>Two migration approaches to S/4HANA: rebuild from a clean core, or convert the existing system in place.</p>
<p>Greenfield redesigns processes and reimplements, which is the opportunity to drop twenty years of accumulated customisation — and the more expensive, more disruptive path. Brownfield converts the existing system, preserving history and configuration, which is faster but carries the old design forward. Selective data transition sits between them. The decision is a business one about how much of the current process you actually want to keep.</p>"
Fit-gap analysis,fit-gap-analysis,SAP & Enterprise Systems,"A structured comparison of standard system capability against the organisation's requirements, identifying where the two diverge.","<p>A structured comparison of standard system capability against the organisation's requirements, identifying where the two diverge.</p>
<p>Every gap has three possible answers: change the process to fit the standard, configure within the standard, or build something custom. The discipline is defending the first answer as the default, because each accepted custom development is a permanent tax on every future upgrade. A fit-gap that produces two hundred gaps has usually documented preferences rather than requirements.</p>"
Total cost of ownership,total-cost-of-ownership,Procurement & Sourcing,"The full lifetime cost of a purchase, including acquisition, operation, maintenance, downtime, training and disposal.","<p>The full lifetime cost of a purchase, including acquisition, operation, maintenance, downtime, training and disposal.</p>
<p>TCO exists because purchase price is often the smallest component. The cheaper machine that needs more maintenance, the cheaper software that needs more integration effort, the cheaper supplier whose lead times force higher safety stock — all are more expensive at the level that matters. Building a defensible TCO model is mostly about agreeing which costs are in scope before anyone sees a number.</p>"
Incoterms,incoterms,Logistics & Warehousing,Standard trade terms defining where risk and cost transfer between seller and buyer in an international shipment.,"<p>Standard trade terms defining where risk and cost transfer between seller and buyer in an international shipment.</p>
<p>Incoterms fix three things: who arranges carriage, who bears cost, and at exactly which point risk passes. They do not determine ownership, price or payment terms, and they are not a contract. The common failures are using a term inappropriate to the transport mode — the maritime terms applied to containerised or air freight — and assuming the term settles insurance obligations when in most cases it does not.</p>"
Safety stock,safety-stock,Supply Chain Management,Inventory held specifically to absorb variability in demand and supply.,"<p>Inventory held specifically to absorb variability in demand and supply.</p>
<p>Safety stock is a deliberate purchase of service level. The calculation depends on demand variability, lead-time variability and the service level you have chosen to target — and that target should be a commercial decision, not a default. Most organisations hold too much of the wrong items and too little of the few that actually stop the line, because the setting was applied uniformly rather than by criticality.</p>"
OEE,oee,Operational Excellence,Overall Equipment Effectiveness — availability multiplied by performance multiplied by quality.,"<p>Overall Equipment Effectiveness — availability multiplied by performance multiplied by quality.</p>
<p>OEE is useful precisely because it multiplies: 90% on each of three factors is 73% overall, which is a more honest picture than any single metric. Its weakness is that it is easily gamed by narrowing the definition of planned production time. Used as an improvement diagnostic it is excellent; used as a target imposed from above it produces creative reporting.</p>"
Value stream mapping,value-stream-mapping,Operational Excellence,"A method for drawing the complete flow of material and information for a product family, including the waiting time between steps.","<p>A method for drawing the complete flow of material and information for a product family, including the waiting time between steps.</p>
<p>The insight almost every first map produces is the ratio of value-adding time to total lead time, which is routinely under five per cent. Because the map includes information flow and queues rather than just process steps, it locates the delay rather than the activity — and delay, not slow work, is what customers experience. The map is worthless without a future-state version and a dated plan to get there.</p>"
Competency-based interviewing,competency-based-interviewing,Talent Acquisition,"A structured method that asks candidates for specific past examples against defined competencies, scored to a common rubric.","<p>A structured method that asks candidates for specific past examples against defined competencies, scored to a common rubric.</p>
<p>The evidence on selection validity is unambiguous: structured interviews substantially out-predict unstructured ones, largely because the structure constrains the interviewer rather than the candidate. Same questions, same order, scored independently before discussion. The most common implementation failure is agreeing the structure and then abandoning it for the candidate everyone already likes.</p>"
Pay transparency (EU Directive),pay-transparency-eu-directive,Reward & HR Analytics,"EU rules requiring employers to disclose pay information and report gender pay gaps, with a right to information for workers.","<p>EU rules requiring employers to disclose pay information and report gender pay gaps, with a right to information for workers.</p>
<p>The directive requires pay ranges to be provided before interview, bans asking candidates about pay history, gives employees the right to request average pay levels broken down by sex for equivalent work, and requires gap reporting above certain headcounts with a joint pay assessment where an unjustified gap exceeds the threshold. Preparation is mostly a data exercise: most employers cannot currently produce the reporting from their own systems.</p>"
Time to hire vs time to fill,time-to-hire-vs-time-to-fill,Talent Acquisition,Two different recruitment measures that are routinely confused and produce contradictory conclusions.,"<p>Two different recruitment measures that are routinely confused and produce contradictory conclusions.</p>
<p>Time to fill counts from requisition approval to offer acceptance and measures the whole process including how long approval took. Time to hire counts from a candidate entering the pipeline to their acceptance, measuring the candidate's experience of your process. Improving one can worsen the other, which is why reporting a single 'recruitment speed' number is usually meaningless.</p>"
Three lines model,three-lines-model,Risk Management,"A governance model separating operational ownership of risk, oversight functions and independent internal audit.","<p>A governance model separating operational ownership of risk, oversight functions and independent internal audit.</p>
<p>The first line owns and manages risk in the business. The second sets policy and monitors. The third provides independent assurance to the board. The 2020 revision moved away from the language of 'defence' precisely because the older framing encouraged the second and third lines to behave as obstacles rather than as advisers. The failure mode is the second line drifting into doing the first line's work and losing its objectivity.</p>"
Risk appetite,risk-appetite,Risk Management,The amount and type of risk an organisation is willing to accept in pursuit of its objectives.,"<p>The amount and type of risk an organisation is willing to accept in pursuit of its objectives.</p>
<p>A risk appetite statement is only useful if it constrains real decisions — that is, if it is specific enough that someone can point at a proposal and say it exceeds appetite. Statements written at the level of 'we have a low appetite for reputational risk' fail that test. The practical version sets tolerances against measurable exposures and names who may approve an exception.</p>"
Materiality (CSRD),materiality-csrd,Governance & Ethics,"Under double materiality, a topic is reportable if it affects the business financially or if the business affects people and the environment through it.","<p>Under double materiality, a topic is reportable if it affects the business financially or if the business affects people and the environment through it.</p>
<p>Double materiality is the concept that trips up organisations coming from a purely financial reporting background: impact materiality can make a topic reportable even when it has no measurable financial consequence. The assessment drives the whole reporting scope, so it is the first thing an assurance provider examines and the place where under-preparation is most visible.</p>"
Whistleblowing Directive,whistleblowing-directive,Governance & Ethics,"EU rules requiring internal reporting channels, defined response timeframes and protection from retaliation for people who report breaches.","<p>EU rules requiring internal reporting channels, defined response timeframes and protection from retaliation for people who report breaches.</p>
<p>The obligations are concrete: a confidential internal channel, acknowledgement within seven days, feedback within three months, and a prohibition on retaliation with a reversed burden of proof. The organisational challenge is rarely the channel, which is easily bought — it is whether people believe using it is safe, which is a culture question the technology cannot answer.</p>"
Chart of accounts,chart-of-accounts,Financial Accounting & Reporting,The structured list of accounts used to classify every transaction in the general ledger.,"<p>The structured list of accounts used to classify every transaction in the general ledger.</p>
<p>A chart of accounts is the skeleton of financial reporting: too coarse and you cannot analyse anything, too granular and nobody posts consistently. In group environments the difficulty is reconciling a global structure with local statutory requirements. Redesigning it is one of the highest-value and most-deferred finance projects, because it is invisible to everyone except the people who suffer from it.</p>"
Cash conversion cycle,cash-conversion-cycle,Corporate Finance & Modelling,Days inventory outstanding plus days sales outstanding minus days payables outstanding.,"<p>Days inventory outstanding plus days sales outstanding minus days payables outstanding.</p>
<p>The cash conversion cycle is how long a euro stays trapped between paying a supplier and being paid by a customer. Reducing it releases cash without any change in profitability, which makes it the first place to look when growth is constrained by funding rather than demand. A negative cycle — being paid before you pay — is the structural advantage behind several very large retail businesses.</p>"
Sensitivity vs scenario analysis,sensitivity-vs-scenario-analysis,Corporate Finance & Modelling,Sensitivity moves one variable at a time; scenario analysis moves a coherent set of variables together.,"<p>Sensitivity moves one variable at a time; scenario analysis moves a coherent set of variables together.</p>
<p>Sensitivity tells you which assumption the answer is most exposed to. Scenario analysis tells you what happens in a recognisable state of the world, where several assumptions move at once and often in correlated directions. Presenting only sensitivity to a board understates risk, because in reality the variables that hurt you tend to move together.</p>"
Data lineage,data-lineage,Information Governance,The documented path of data from its origin through every transformation to its final use in a report or model.,"<p>The documented path of data from its origin through every transformation to its final use in a report or model.</p>
<p>Lineage answers the question every controller eventually asks: where did this number come from? It matters for audit, for impact analysis before a system change, and for the far more common situation where two reports disagree. Capturing it manually never survives contact with change, which is why it belongs in the tooling rather than in a spreadsheet.</p>"
Master data management,master-data-management,Information Governance,"The discipline of maintaining one authoritative version of core business entities — customer, supplier, product, employee.","<p>The discipline of maintaining one authoritative version of core business entities — customer, supplier, product, employee.</p>
<p>MDM is less a technology problem than an ownership problem: until someone is accountable for the definition of 'active customer', every system will hold a different answer. The business case is usually built on the visible costs — duplicate records, failed deliveries, reporting that does not reconcile — but the real return is that analytics and automation become possible at all.</p>"
Change control vs change management,change-control-vs-change-management,Business Process Mapping and Improvement,One governs modifications to a controlled system or plan; the other addresses how people adopt a change.,"<p>One governs modifications to a controlled system or plan; the other addresses how people adopt a change.</p>
<p>Change control is a governance process: raise, assess, approve, implement, review. Change management is behavioural: communication, capability, resistance, adoption. They are routinely confused in project documents, and the consequence is real — a programme with immaculate change control and no change management delivers a system nobody uses.</p>"
Kirkpatrick model,kirkpatrick-model,Performance & Development,"A four-level framework for evaluating training: reaction, learning, behaviour and results.","<p>A four-level framework for evaluating training: reaction, learning, behaviour and results.</p>
<p>Most organisations measure level one and stop, because reaction is easy to collect and flattering. Level three, behaviour change at work, is where training either pays back or does not, and it requires measuring 60 to 90 days later, in the workplace, against something agreed before the training happened. If nobody defined the target behaviour beforehand, no evaluation method will rescue it.</p>"
Training needs analysis,training-needs-analysis,Performance & Development,"A structured process for identifying the gap between current and required capability, and whether training will close it.","<p>A structured process for identifying the gap between current and required capability, and whether training will close it.</p>
<p>The most useful outcome of a TNA is often the conclusion that training is not the answer — that the gap is caused by process, tooling, incentives or workload. Spending on a course to address a systems problem is the most common way training budgets are wasted, and it damages the credibility of the L&D function that authorised it.</p>"
