city,country,country_code,venue_name,address,transport,lat,lng,hotels,corporate,intro,description
Brussels,Belgium,BE,Academia Training Centre Brussels,"European Quarter
Brussels, Belgium",10 minutes from Brussels Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,50.8503,4.3517,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Brussels Central,yes,"Public classroom courses and in-company training in Brussels, in the European Quarter. Small groups, full equipment, lunch included.","Academia runs public classroom training in Brussels throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the European Quarter, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Belgium."
Antwerp,Belgium,BE,Academia Training Centre Antwerp,"Het Eilandje
Antwerp, Belgium",10 minutes from Antwerp Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,51.2194,4.4025,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Antwerp Central,yes,"Public classroom courses and in-company training in Antwerp, in the Het Eilandje. Small groups, full equipment, lunch included.","Academia runs public classroom training in Antwerp throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Het Eilandje, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Belgium."
Madrid,Spain,ES,Academia Training Centre Madrid,"Salamanca
Madrid, Spain",10 minutes from Madrid Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,40.4168,-3.7038,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Madrid Central,yes,"Public classroom courses and in-company training in Madrid, in the Salamanca. Small groups, full equipment, lunch included.","Academia runs public classroom training in Madrid throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Salamanca, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Spain."
Barcelona,Spain,ES,Academia Training Centre Barcelona,"22@ innovation district
Barcelona, Spain",10 minutes from Barcelona Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,41.3874,2.1686,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Barcelona Central,yes,"Public classroom courses and in-company training in Barcelona, in the 22@ innovation district. Small groups, full equipment, lunch included.","Academia runs public classroom training in Barcelona throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the 22@ innovation district, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Spain."
Milan,Italy,IT,Academia Training Centre Milan,"Porta Nuova
Milan, Italy",10 minutes from Milan Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,45.4642,9.19,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Milan Central,yes,"Public classroom courses and in-company training in Milan, in the Porta Nuova. Small groups, full equipment, lunch included.","Academia runs public classroom training in Milan throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Porta Nuova, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Italy."
Rome,Italy,IT,Academia Training Centre Rome,"EUR business district
Rome, Italy",10 minutes from Rome Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,41.9028,12.4964,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Rome Central,yes,"Public classroom courses and in-company training in Rome, in the EUR business district. Small groups, full equipment, lunch included.","Academia runs public classroom training in Rome throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the EUR business district, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Italy."
Zurich,Switzerland,CH,Academia Training Centre Zurich,"Enge
Zurich, Switzerland",10 minutes from Zurich Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,47.3769,8.5417,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Zurich Central,yes,"Public classroom courses and in-company training in Zurich, in the Enge. Small groups, full equipment, lunch included.","Academia runs public classroom training in Zurich throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Enge, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Switzerland."
Geneva,Switzerland,CH,Academia Training Centre Geneva,"Rive
Geneva, Switzerland",10 minutes from Geneva Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,46.2044,6.1432,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Geneva Central,yes,"Public classroom courses and in-company training in Geneva, in the Rive. Small groups, full equipment, lunch included.","Academia runs public classroom training in Geneva throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Rive, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Switzerland."
Vienna,Austria,AT,Academia Training Centre Vienna,"Innere Stadt
Vienna, Austria",10 minutes from Vienna Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,48.2082,16.3738,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Vienna Central,yes,"Public classroom courses and in-company training in Vienna, in the Innere Stadt. Small groups, full equipment, lunch included.","Academia runs public classroom training in Vienna throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Innere Stadt, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Austria."
Dublin,Ireland,IE,Academia Training Centre Dublin,"Docklands
Dublin, Ireland",10 minutes from Dublin Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,53.3498,-6.2603,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Dublin Central,yes,"Public classroom courses and in-company training in Dublin, in the Docklands. Small groups, full equipment, lunch included.","Academia runs public classroom training in Dublin throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Docklands, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Ireland."
Copenhagen,Denmark,DK,Academia Training Centre Copenhagen,"Indre By
Copenhagen, Denmark",10 minutes from Copenhagen Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,55.6761,12.5683,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Copenhagen Central,yes,"Public classroom courses and in-company training in Copenhagen, in the Indre By. Small groups, full equipment, lunch included.","Academia runs public classroom training in Copenhagen throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Indre By, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Denmark."
Stockholm,Sweden,SE,Academia Training Centre Stockholm,"Norrmalm
Stockholm, Sweden",10 minutes from Stockholm Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,59.3293,18.0686,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Stockholm Central,yes,"Public classroom courses and in-company training in Stockholm, in the Norrmalm. Small groups, full equipment, lunch included.","Academia runs public classroom training in Stockholm throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Norrmalm, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Sweden."
Warsaw,Poland,PL,Academia Training Centre Warsaw,"Wola
Warsaw, Poland",10 minutes from Warsaw Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,52.2297,21.0122,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Warsaw Central,yes,"Public classroom courses and in-company training in Warsaw, in the Wola. Small groups, full equipment, lunch included.","Academia runs public classroom training in Warsaw throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Wola, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Poland."
Lisbon,Portugal,PT,Academia Training Centre Lisbon,"Parque das Nações
Lisbon, Portugal",10 minutes from Lisbon Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,38.7223,-9.1393,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Lisbon Central,yes,"Public classroom courses and in-company training in Lisbon, in the Parque das Nações. Small groups, full equipment, lunch included.","Academia runs public classroom training in Lisbon throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Parque das Nações, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Portugal."
Prague,Czechia,CZ,Academia Training Centre Prague,"Karlín
Prague, Czechia",10 minutes from Prague Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,50.0755,14.4378,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Prague Central,yes,"Public classroom courses and in-company training in Prague, in the Karlín. Small groups, full equipment, lunch included.","Academia runs public classroom training in Prague throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Karlín, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Czechia."
Luxembourg,Luxembourg,LU,Academia Training Centre Luxembourg,"Kirchberg
Luxembourg, Luxembourg",10 minutes from Luxembourg Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,49.6116,6.1319,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Luxembourg Central,yes,"Public classroom courses and in-company training in Luxembourg, in the Kirchberg. Small groups, full equipment, lunch included.","Academia runs public classroom training in Luxembourg throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Kirchberg, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Luxembourg."
